iter	Logloss
0	0.6631227488
1	0.6317497711
2	0.6040657631
3	0.5744475165
4	0.5522642463
5	0.5263497331
6	0.507205957
7	0.4894296746
8	0.4711063476
9	0.4543849378
10	0.4358172737
11	0.4213421197
12	0.4081534748
13	0.392978605
14	0.377746143
15	0.3642260852
16	0.3519405619
17	0.3403503719
18	0.3302246327
19	0.3194503972
20	0.3104986605
21	0.3017976729
22	0.2932630628
23	0.2831453072
24	0.2765983638
25	0.2697760429
26	0.2636109053
27	0.2561645425
28	0.2497595111
29	0.2437712657
30	0.238998142
31	0.2331838473
32	0.2289613378
33	0.22446727
34	0.2205449413
35	0.216845774
36	0.2133984888
37	0.2098577964
38	0.2061440828
39	0.2028063343
40	0.1999633251
41	0.1959276537
42	0.1937716894
43	0.1907780874
44	0.1883491296
45	0.1862174489
46	0.1834762087
47	0.1808092655
48	0.1788128069
49	0.1763793472
50	0.1742571702
51	0.1724728539
52	0.1701075025
53	0.1686030131
54	0.1674876988
55	0.1656594152
56	0.1643928017
57	0.1627356531
58	0.1610399973
59	0.1595756713
60	0.1585174643
61	0.157528866
62	0.1563876039
63	0.1551377042
64	0.154329842
65	0.1533610618
66	0.1522966838
67	0.151627582
68	0.1510936399
69	0.1500190506
70	0.1495161307
71	0.1484652597
72	0.1476252027
73	0.1469860527
74	0.1465637122
75	0.1458639688
76	0.1450548395
77	0.1444849038
78	0.1438718946
79	0.1430316094
80	0.1424233081
81	0.1420227038
82	0.141362622
83	0.1409092568
84	0.1402968044
85	0.1397512197
86	0.1390098697
87	0.1382871151
88	0.1379390418
89	0.1374106209
90	0.1368420293
91	0.1363126513
92	0.1357951088
93	0.135540099
94	0.1353986259
95	0.1349179603
96	0.1344544146
97	0.1340179135
98	0.1336085189
99	0.1331126365
100	0.1327378466
101	0.1322889615
102	0.1319318954
103	0.131501519
104	0.1312671248
105	0.1307633394
106	0.1304246682
107	0.1299904425
108	0.1297029735
109	0.1293667777
110	0.1290617015
111	0.1287136566
112	0.1284621632
113	0.1280432379
114	0.1277597004
115	0.1275927267
116	0.1273266874
117	0.1270407352
118	0.1267529699
119	0.1264875378
120	0.126257081
121	0.1259550193
122	0.1257211249
123	0.1255120496
124	0.1252412458
125	0.1249251576
126	0.1247497681
127	0.1245332582
128	0.1243252611
129	0.1241064753
130	0.1239167823
131	0.123732889
132	0.1233950327
133	0.1232113685
134	0.1229506061
135	0.1226692034
136	0.1224834725
137	0.1222971774
138	0.1221089638
139	0.1219879542
140	0.1217948193
141	0.121660065
142	0.1214377562
143	0.1211797239
144	0.1209389826
145	0.120702031
146	0.1205004183
147	0.1203110297
148	0.1200638174
149	0.1198673265
150	0.1197651134
151	0.1196618476
152	0.1194848346
153	0.1193285592
154	0.1190821563
155	0.1188966835
156	0.118766968
157	0.1185863566
158	0.1184373384
159	0.1182252475
160	0.1179959317
161	0.1178013967
162	0.1176805339
163	0.1175055801
164	0.1172985541
165	0.1171363678
166	0.1169147853
167	0.116723978
168	0.1165680066
169	0.1164567838
170	0.1162334512
171	0.1160772927
172	0.115929629
173	0.1157039356
174	0.1155317409
175	0.1153806757
176	0.1151639524
177	0.1150228729
178	0.1148382828
179	0.1146542498
180	0.1144750674
181	0.1143143551
182	0.114227772
183	0.114127556
184	0.1138892978
185	0.1137268636
186	0.1136966062
187	0.1135254662
188	0.1133126594
189	0.113176702
190	0.1130512703
191	0.1128816985
192	0.1127310788
193	0.1126174283
194	0.112449699
195	0.1122933051
196	0.1121711857
197	0.1120879944
198	0.1119447853
199	0.1118201165
200	0.1116651678
201	0.1114841775
202	0.1113763309
203	0.1111486603
204	0.1110128266
205	0.1109442601
206	0.1108115126
207	0.1106947631
208	0.110591012
209	0.1104974425
210	0.1103806689
211	0.1102495645
212	0.1100941947
213	0.1099587493
214	0.1098440499
215	0.1096868245
216	0.109628518
217	0.109547125
218	0.109467171
219	0.1093582491
220	0.1091817977
221	0.1090672416
222	0.1089989287
223	0.1088650139
224	0.1087579173
225	0.1085883364
226	0.1084805413
227	0.1083195227
228	0.1081608601
229	0.1080521822
230	0.1079178809
231	0.1078159225
232	0.1076968203
233	0.1075919067
234	0.1075561863
235	0.1074313913
236	0.1073089615
237	0.1072159431
238	0.1071317218
239	0.106979943
240	0.1069045195
241	0.1067947796
242	0.106725138
243	0.1066650381
244	0.1065463735
245	0.1064625019
246	0.1063657989
247	0.1062220911
248	0.106047154
249	0.1059365913
250	0.1058449173
251	0.1056892283
252	0.1055494631
253	0.1054086539
254	0.105206243
255	0.1050990433
256	0.1049594405
257	0.1048180499
258	0.1047104154
259	0.1046074185
260	0.1045290542
261	0.1043689801
262	0.1042793093
263	0.104133107
264	0.1039641323
265	0.1038116338
266	0.1037203783
267	0.1035542994
268	0.1034720176
269	0.1033470077
270	0.1033390985
271	0.1032160138
272	0.103102248
273	0.1029950781
274	0.1029198036
275	0.1028586678
276	0.1027023903
277	0.1026064349
278	0.1025287936
279	0.1024423128
280	0.1023865025
281	0.1022776121
282	0.1021128967
283	0.1020023596
284	0.1018752185
285	0.1017833721
286	0.1016422159
287	0.1015554074
288	0.1014220492
289	0.1013069407
290	0.101185179
291	0.1010749559
292	0.1009556186
293	0.1008664465
294	0.1007807385
295	0.1006933161
296	0.100628601
297	0.1005203186
298	0.1004458262
299	0.1003629207
300	0.1002721346
301	0.1002293561
302	0.1000816254
303	0.09994200795
304	0.09988427702
305	0.09984525157
306	0.09973080483
307	0.09967751646
308	0.09958185134
309	0.09945389851
310	0.09942389057
311	0.09931856362
312	0.09921892374
313	0.09915090349
314	0.09909453826
315	0.09894938967
316	0.09888512288
317	0.09886846242
318	0.09871150834
319	0.09865101156
320	0.09857648171
321	0.09849653494
322	0.09845967545
323	0.09834911281
324	0.09826609601
325	0.09816832283
326	0.09808856093
327	0.09798728456
328	0.09782812737
329	0.09769000419
330	0.09760766822
331	0.09751219696
332	0.09743912026
333	0.09735336991
334	0.09725306262
335	0.09719403799
336	0.09711070158
337	0.09704445169
338	0.09695767322
339	0.09676571893
340	0.09670126764
341	0.09664002286
342	0.0965632485
343	0.09647544245
344	0.09643290264
345	0.09635359843
346	0.09624484175
347	0.09619899684
348	0.09616695073
349	0.09609651553
350	0.0960321774
351	0.09592264088
352	0.09581199467
353	0.09571131068
354	0.09563442022
355	0.09552893474
356	0.09546064735
357	0.09542397658
358	0.09538132152
359	0.09527141416
360	0.09513191648
361	0.0949761561
362	0.09494642564
363	0.09487139566
364	0.09475393428
365	0.09464565407
366	0.09452866228
367	0.09443032426
368	0.09432625007
369	0.094241322
370	0.09414994565
371	0.09402822465
372	0.09388473675
373	0.09378577764
374	0.09363546364
375	0.09350967509
376	0.09339998489
377	0.09327980354
378	0.09322521174
379	0.0931558679
380	0.09305843066
381	0.09297455606
382	0.09289662953
383	0.09282860988
384	0.09267069834
385	0.09258168672
386	0.09255142523
387	0.09243153036
388	0.09232950294
389	0.09221533698
390	0.09212927402
391	0.092054712
392	0.09195009562
393	0.09188749883
394	0.09179772762
395	0.09170683178
396	0.09160976707
397	0.09143839146
398	0.09138195694
399	0.0912300489
400	0.09118019767
401	0.09107447519
402	0.0909847242
403	0.0909180645
404	0.09080301096
