iter	Passed	Remaining
0	3	3308
1	6	3212
2	9	3162
3	12	3172
4	15	3180
5	19	3169
6	22	3168
7	24	3013
8	27	3041
9	30	3023
10	33	3032
11	36	3042
12	39	3016
13	42	3015
14	45	3005
15	49	3014
16	52	3011
17	55	3014
18	58	3016
19	61	2999
20	64	2997
21	67	3012
22	71	3026
23	74	3046
24	78	3057
25	81	3068
26	85	3074
27	88	3068
28	91	3067
29	94	3062
30	98	3069
31	101	3073
32	104	3069
33	107	3055
34	110	3033
35	113	3028
36	115	2997
37	118	2989
38	121	2984
39	123	2975
40	126	2962
41	129	2949
42	131	2920
43	133	2908
44	136	2890
45	139	2883
46	141	2874
47	144	2874
48	147	2865
49	150	2861
50	153	2852
51	156	2845
52	158	2840
53	161	2833
54	163	2815
55	166	2808
56	169	2804
57	172	2798
58	175	2791
59	178	2789
60	180	2784
61	183	2779
62	186	2773
63	189	2774
64	192	2766
65	195	2763
66	197	2755
67	200	2746
68	202	2730
69	204	2722
70	206	2703
71	209	2698
72	211	2690
73	214	2685
74	217	2676
75	220	2675
76	223	2674
77	225	2667
78	228	2664
79	231	2661
80	234	2663
81	236	2650
82	239	2645
83	242	2642
84	245	2638
85	248	2636
86	250	2631
87	253	2630
88	256	2626
89	259	2623
90	262	2622
91	265	2619
92	268	2618
93	271	2615
94	273	2603
95	276	2601
96	279	2598
97	282	2596
98	284	2593
99	288	2592
100	291	2591
101	294	2591
102	297	2587
103	300	2584
104	302	2580
105	305	2576
106	308	2572
107	310	2568
108	313	2565
109	316	2559
110	319	2555
111	321	2551
112	324	2545
113	327	2542
114	329	2537
115	332	2534
116	335	2530
117	338	2526
118	340	2522
119	343	2518
120	346	2517
121	349	2514
122	352	2511
123	354	2506
124	357	2503
125	360	2500
126	363	2499
127	366	2497
128	369	2493
129	372	2490
130	374	2486
131	377	2483
132	380	2479
133	382	2474
134	386	2473
135	388	2469
136	391	2468
137	394	2464
138	397	2461
139	400	2458
140	402	2453
141	405	2451
142	408	2446
143	411	2443
144	413	2439
145	416	2434
146	419	2431
147	421	2427
148	424	2426
149	427	2421
150	429	2417
151	432	2413
152	435	2409
153	438	2406
154	440	2401
155	443	2398
156	446	2395
157	448	2390
158	451	2389
159	454	2386
160	457	2384
161	460	2381
162	463	2378
163	466	2375
164	469	2374
165	472	2372
166	475	2369
167	478	2368
168	480	2365
169	484	2364
170	487	2361
171	490	2360
172	493	2357
173	496	2355
174	499	2354
175	501	2346
176	504	2345
177	507	2342
178	510	2340
179	512	2336
180	515	2332
181	518	2329
182	520	2324
183	523	2321
184	526	2318
185	529	2315
186	531	2312
187	534	2308
188	537	2305
189	539	2301
190	542	2299
191	545	2295
192	548	2292
193	550	2289
194	553	2285
195	556	2283
196	559	2280
197	562	2278
198	565	2275
199	568	2272
200	571	2269
201	573	2266
202	576	2264
203	579	2260
204	582	2258
205	585	2255
206	588	2253
207	590	2250
208	593	2247
209	596	2244
210	599	2241
211	602	2238
212	604	2234
213	607	2231
214	610	2228
215	613	2225
216	615	2222
217	618	2219
218	621	2216
219	624	2212
220	626	2209
221	629	2206
222	633	2205
223	635	2203
224	638	2199
225	641	2197
226	644	2193
227	646	2190
228	649	2187
229	652	2183
230	655	2180
231	657	2177
232	660	2174
233	663	2170
234	665	2166
235	668	2163
236	671	2160
237	673	2157
238	676	2154
239	679	2151
240	682	2148
241	684	2145
242	687	2142
243	690	2140
244	693	2137
245	696	2134
246	699	2131
247	702	2128
248	704	2125
249	707	2122
250	710	2119
251	712	2116
252	715	2113
253	718	2110
254	721	2107
255	723	2104
256	726	2101
257	729	2098
258	732	2096
259	735	2093
260	738	2091
261	741	2088
262	744	2086
263	747	2083
264	750	2080
265	753	2078
266	755	2074
267	758	2072
268	761	2068
269	763	2065
270	766	2061
271	768	2058
272	771	2055
273	774	2051
274	777	2048
275	779	2045
276	782	2042
277	785	2039
278	787	2035
279	790	2032
280	793	2029
281	795	2026
282	798	2023
283	801	2020
284	804	2018
285	807	2014
286	809	2012
287	812	2009
288	815	2006
289	818	2003
290	821	2000
291	824	1999
292	827	1995
293	830	1993
294	832	1990
295	835	1987
296	838	1985
297	841	1982
298	844	1979
299	847	1977
300	850	1974
301	852	1969
302	854	1966
303	857	1964
304	860	1960
305	862	1957
306	865	1954
307	868	1951
308	871	1948
309	873	1945
310	876	1942
311	879	1939
312	882	1936
313	884	1933
314	887	1930
315	890	1927
316	893	1924
317	895	1919
318	898	1918
319	902	1917
320	904	1914
321	907	1911
322	910	1908
323	913	1905
324	916	1903
325	918	1900
326	921	1897
327	924	1894
328	928	1894
329	931	1892
330	934	1889
331	937	1886
332	940	1883
333	943	1880
334	946	1878
335	948	1875
336	951	1872
337	954	1869
338	957	1866
339	960	1863
340	963	1861
341	965	1858
342	969	1856
343	971	1853
344	974	1850
345	977	1847
346	981	1846
347	983	1843
348	986	1840
349	989	1837
350	992	1834
351	995	1832
352	997	1829
353	1000	1826
354	1003	1824
355	1007	1822
356	1010	1819
357	1013	1816
358	1015	1813
359	1018	1810
360	1021	1807
361	1023	1804
362	1026	1800
363	1028	1797
364	1031	1795
365	1034	1792
366	1037	1789
367	1041	1788
368	1044	1785
369	1047	1782
370	1049	1779
371	1053	1777
372	1055	1774
373	1058	1772
374	1061	1769
375	1064	1766
376	1067	1764
377	1070	1761
378	1073	1759
379	1076	1756
380	1079	1753
381	1082	1750
382	1085	1748
383	1088	1745
384	1090	1742
385	1093	1740
386	1096	1737
387	1099	1734
388	1102	1731
389	1105	1729
390	1108	1726
391	1111	1724
392	1114	1721
393	1117	1718
394	1120	1715
395	1123	1712
396	1126	1710
397	1128	1707
398	1131	1704
399	1134	1701
400	1137	1698
401	1139	1695
402	1142	1692
403	1145	1689
404	1147	1686
405	1150	1683
406	1153	1680
407	1156	1677
408	1159	1674
409	1161	1671
410	1164	1669
411	1167	1666
412	1170	1663
413	1173	1660
414	1176	1657
415	1178	1655
416	1181	1651
417	1184	1649
418	1187	1646
419	1189	1643
420	1192	1640
421	1195	1637
422	1198	1634
423	1200	1631
424	1203	1628
425	1206	1625
426	1208	1622
427	1211	1619
428	1214	1616
429	1217	1613
430	1220	1610
431	1222	1607
432	1225	1604
433	1228	1601
434	1231	1599
435	1233	1596
436	1237	1593
437	1240	1591
438	1243	1588
439	1246	1585
440	1249	1583
441	1251	1580
442	1254	1576
443	1257	1574
444	1259	1571
445	1262	1568
446	1265	1565
447	1268	1562
448	1271	1559
449	1273	1556
450	1276	1554
451	1279	1551
452	1282	1548
453	1285	1545
454	1287	1542
455	1290	1539
456	1293	1536
457	1296	1534
458	1300	1532
459	1303	1529
460	1305	1526
461	1308	1523
462	1311	1520
463	1313	1517
464	1316	1514
465	1319	1511
466	1322	1508
467	1324	1505
468	1327	1503
469	1330	1500
470	1333	1497
471	1335	1494
472	1338	1491
473	1341	1488
474	1344	1485
475	1347	1483
476	1350	1480
477	1352	1477
478	1356	1474
479	1358	1472
480	1361	1469
481	1364	1466
482	1367	1463
483	1370	1460
484	1373	1457
485	1375	1455
486	1378	1452
487	1381	1449
488	1384	1446
489	1387	1443
490	1389	1440
491	1392	1437
492	1394	1434
493	1397	1431
494	1400	1428
495	1402	1425
496	1405	1422
497	1408	1419
498	1410	1416
499	1413	1413
500	1416	1410
501	1419	1407
502	1421	1404
503	1424	1401
504	1427	1399
505	1430	1396
506	1433	1394
507	1436	1391
508	1438	1388
509	1441	1385
510	1444	1382
511	1447	1379
512	1450	1376
513	1453	1373
514	1455	1370
515	1458	1368
516	1461	1365
517	1464	1362
518	1467	1359
519	1469	1356
520	1472	1354
521	1475	1351
522	1478	1348
523	1481	1345
524	1483	1342
525	1486	1339
526	1489	1336
527	1492	1333
528	1494	1330
529	1497	1327
530	1500	1325
531	1502	1322
532	1505	1319
533	1508	1316
534	1511	1313
535	1513	1310
536	1516	1307
537	1519	1304
538	1521	1301
539	1524	1298
540	1527	1295
541	1529	1292
542	1532	1289
543	1535	1286
544	1537	1283
545	1540	1280
546	1543	1278
547	1546	1275
548	1548	1272
549	1551	1269
550	1554	1266
551	1557	1263
552	1559	1260
553	1563	1258
554	1565	1255
555	1568	1252
556	1571	1249
557	1574	1246
558	1577	1244
559	1579	1241
560	1582	1238
561	1585	1235
562	1588	1232
563	1591	1230
564	1593	1227
565	1596	1224
566	1599	1221
567	1602	1218
568	1605	1215
569	1607	1212
570	1610	1209
571	1612	1206
572	1615	1204
573	1618	1201
574	1621	1198
575	1624	1195
576	1626	1192
577	1629	1189
578	1632	1186
579	1635	1184
580	1637	1181
581	1640	1178
582	1643	1175
583	1645	1172
584	1648	1169
585	1651	1166
586	1653	1163
587	1656	1160
588	1659	1157
589	1662	1155
590	1665	1152
591	1668	1149
592	1670	1146
593	1673	1143
594	1676	1141
595	1679	1138
596	1682	1135
597	1685	1132
598	1688	1130
599	1691	1127
600	1694	1124
601	1697	1122
602	1700	1119
603	1702	1116
604	1705	1113
605	1708	1111
606	1711	1108
607	1714	1105
608	1717	1102
609	1720	1099
610	1723	1097
611	1725	1094
612	1728	1091
613	1731	1088
614	1734	1085
615	1736	1082
616	1739	1079
617	1742	1076
618	1744	1073
619	1747	1071
620	1750	1068
621	1753	1065
622	1755	1062
623	1758	1059
624	1761	1056
625	1764	1053
626	1767	1051
627	1770	1048
628	1773	1046
629	1776	1043
630	1779	1040
631	1781	1037
632	1784	1034
633	1787	1031
634	1790	1029
635	1793	1026
636	1796	1023
637	1799	1020
638	1801	1018
639	1804	1015
640	1807	1012
641	1810	1009
642	1813	1006
643	1816	1004
644	1819	1001
645	1822	998
646	1825	995
647	1828	993
648	1831	990
649	1834	987
650	1836	984
651	1839	982
652	1842	979
653	1845	976
654	1848	973
655	1851	970
656	1853	967
657	1856	964
658	1859	962
659	1861	959
660	1864	956
661	1867	953
662	1870	950
663	1872	947
664	1875	944
665	1878	941
666	1880	939
667	1883	936
668	1886	933
669	1889	930
670	1892	927
671	1894	924
672	1897	922
673	1900	919
674	1903	916
675	1906	913
676	1908	910
677	1911	907
678	1914	904
679	1917	902
680	1919	899
681	1922	896
682	1925	893
683	1928	890
684	1931	888
685	1934	885
686	1937	882
687	1940	879
688	1943	877
689	1946	874
690	1949	871
691	1951	868
692	1954	865
693	1957	863
694	1960	860
695	1963	857
696	1966	854
697	1969	852
698	1971	849
699	1974	846
700	1977	843
701	1980	840
702	1983	837
703	1985	834
704	1989	832
705	1991	829
706	1994	826
707	1997	823
708	2000	821
709	2003	818
710	2006	815
711	2009	812
712	2011	809
713	2014	806
714	2017	804
715	2020	801
716	2023	798
717	2025	795
718	2029	792
719	2031	790
720	2035	787
721	2038	784
722	2041	782
723	2044	779
724	2047	776
725	2050	773
726	2052	770
727	2055	768
728	2058	765
729	2061	762
730	2064	759
731	2067	757
732	2070	754
733	2073	751
734	2076	748
735	2079	745
736	2082	742
737	2084	740
738	2087	737
739	2090	734
740	2093	731
741	2096	729
742	2099	726
743	2102	723
744	2105	720
745	2108	717
746	2110	714
747	2113	712
748	2116	709
749	2119	706
750	2121	703
751	2124	700
752	2127	697
753	2129	694
754	2132	691
755	2135	689
756	2137	686
757	2140	683
758	2143	680
759	2145	677
760	2148	674
761	2151	672
762	2154	669
763	2157	666
764	2160	663
765	2162	660
766	2165	657
767	2168	655
768	2171	652
769	2174	649
770	2176	646
771	2180	643
772	2182	640
773	2185	638
774	2188	635
775	2191	632
776	2193	629
777	2196	626
778	2199	623
779	2201	621
780	2204	618
781	2207	615
782	2210	612
783	2212	609
784	2215	606
785	2218	604
786	2221	601
787	2224	598
788	2227	595
789	2230	592
790	2232	590
791	2235	587
792	2238	584
793	2241	581
794	2244	578
795	2247	575
796	2250	573
797	2253	570
798	2255	567
799	2258	564
800	2261	561
801	2264	559
802	2266	556
803	2269	553
804	2272	550
805	2275	547
806	2278	544
807	2280	541
808	2283	539
809	2286	536
810	2289	533
811	2291	530
812	2294	527
813	2297	524
814	2300	522
815	2303	519
816	2305	516
817	2308	513
818	2311	510
819	2314	507
820	2316	505
821	2319	502
822	2322	499
823	2325	496
824	2327	493
825	2330	490
826	2333	488
827	2336	485
828	2338	482
829	2341	479
830	2344	476
831	2347	473
832	2350	471
833	2352	468
834	2356	465
835	2359	462
836	2362	459
837	2364	457
838	2367	454
839	2370	451
840	2373	448
841	2375	445
842	2378	443
843	2381	440
844	2384	437
845	2387	434
846	2391	431
847	2394	429
848	2397	426
849	2399	423
850	2402	420
851	2405	417
852	2408	415
853	2411	412
854	2414	409
855	2417	406
856	2420	403
857	2423	401
858	2426	398
859	2429	395
860	2431	392
861	2435	389
862	2437	387
863	2440	384
864	2443	381
865	2446	378
866	2449	375
867	2451	372
868	2454	370
869	2457	367
870	2459	364
871	2462	361
872	2465	358
873	2468	355
874	2471	353
875	2474	350
876	2476	347
877	2480	344
878	2482	341
879	2485	338
880	2488	336
881	2491	333
882	2494	330
883	2497	327
884	2500	324
885	2502	322
886	2505	319
887	2508	316
888	2511	313
889	2514	310
890	2516	307
891	2519	305
892	2522	302
893	2524	299
894	2527	296
895	2530	293
896	2533	290
897	2536	288
898	2538	285
899	2541	282
900	2544	279
901	2547	276
902	2549	273
903	2552	271
904	2555	268
905	2558	265
906	2561	262
907	2563	259
908	2566	256
909	2569	254
910	2572	251
911	2575	248
912	2578	245
913	2580	242
914	2583	240
915	2586	237
916	2589	234
917	2592	231
918	2594	228
919	2597	225
920	2600	223
921	2603	220
922	2606	217
923	2608	214
924	2611	211
925	2614	208
926	2617	206
927	2619	203
928	2623	200
929	2626	197
930	2629	194
931	2632	192
932	2635	189
933	2638	186
934	2641	183
935	2644	180
936	2646	177
937	2649	175
938	2652	172
939	2655	169
940	2657	166
941	2660	163
942	2663	160
943	2666	158
944	2669	155
945	2671	152
946	2674	149
947	2677	146
948	2680	144
949	2683	141
950	2686	138
951	2689	135
952	2692	132
953	2694	129
954	2697	127
955	2700	124
956	2703	121
957	2706	118
958	2709	115
959	2712	113
960	2715	110
961	2718	107
962	2721	104
963	2723	101
964	2726	98
965	2729	96
966	2732	93
967	2735	90
968	2737	87
969	2740	84
970	2743	81
971	2745	79
972	2749	76
973	2751	73
974	2755	70
975	2758	67
976	2761	65
977	2764	62
978	2767	59
979	2770	56
980	2773	53
981	2776	50
982	2778	48
983	2781	45
984	2784	42
985	2787	39
986	2789	36
987	2792	33
988	2795	31
989	2798	28
990	2800	25
991	2803	22
992	2805	19
993	2808	16
994	2811	14
995	2814	11
996	2816	8
997	2819	5
998	2822	2
999	2824	0
